ID,Long,Lat,Source,Network,Intensity,PGA,PGV,Distance,VS30,HNZ_PGA,HNN_PGA,HNE_PGA,HNZ_PGV,HNN_PGV,HNE_PGV,HNZ_sa(0.3),HNN_sa(0.3),HNE_sa(0.3),HNZ_sa(1.0),HNN_sa(1.0),HNE_sa(1.0),HNZ_sa(3.0),HNN_sa(3.0),HNE_sa(3.0)
CE.24864,-118.99580,34.25650,CE,CE,3.8,1.2234,1.837,207.262,321.58,0.6112,1.0906,1.2234,0.9870,1.8000,1.8370,1.8744,2.7391,2.5291,1.1021,2.6891,3.1164,0.3756,0.7610,0.6205
CE.24866,-118.54840,34.19340,CE,CE,4.5,2.9452,4.245,187.198,267.24,0.7304,1.9648,2.9452,1.4410,3.2040,4.2450,1.7469,5.6256,7.8198,1.6369,5.1882,6.9901,0.7582,0.5915,1.1606
CE.24909,-118.43530,34.02940,CE,CE,Null,Null,Null,197.090,284.24,0.8952,1.9648,2.9452,0.9710,3.2040,4.2450,3.0764,5.6256,7.8198,1.3770,5.1882,6.9901,0.2762,0.5915,1.1606
CE.24946,-118.22850,34.17330,CE,CE,3.7,2.7536,1.528,174.053,414.15,0.9853,2.7536,2.5333,0.9070,1.4190,1.5280,2.1868,10.8238,10.2865,0.6563,0.8777,0.9029,0.2169,0.1492,0.3629
CE.24947,-118.33660,34.17990,CE,CE,4,2.3568,2.633,178.084,327.08,0.9980,1.9940,2.3568,1.2570,2.4210,2.6330,3.4263,5.8630,6.4753,2.2442,2.2017,3.2014,0.1822,0.3289,0.4463
CE.24967,-118.18210,34.60340,CE,CE,4.3,5.4602,3.568,130.655,375.53,2.7919,5.1455,5.4602,1.5730,3.2440,3.5680,12.0209,9.8066,11.6235,1.0341,2.0243,2.2617,0.3839,0.4364,0.4209
CE.24984,-118.32510,34.02130,CE,CE,3.8,1.4293,1.734,193.113,275.99,0.5302,1.4293,1.3308,0.8480,1.7340,1.6280,0.9787,4.0286,3.8512,0.9574,1.9593,1.7344,0.5048,0.7702,0.9649
CE.24987,-118.25700,34.01250,CE,CE,3.8,1.1474,1.927,191.263,296.18,0.6705,1.1165,1.1474,0.8130,1.9270,1.6270,2.0468,2.8465,2.6341,1.1671,2.0543,2.3192,0.3079,0.4971,0.5466
CE.25091,-119.85310,34.42290,CE,CE,4,1.3238,2.647,252.972,333.68,0.7193,1.1056,1.3238,1.4710,1.4560,2.6470,1.2071,2.0518,2.0493,1.5770,1.8444,2.4966,0.4876,0.5151,1.0674
CE.25132,-119.06010,34.35330,CE,CE,4.4,1.8387,3.985,203.004,269.86,0.4592,1.8387,1.0684,1.2490,3.9850,2.7010,0.9164,2.2567,1.9668,1.4170,4.7334,4.0661,0.5183,1.5470,1.2996
CE.25135,-119.17870,34.18640,CE,CE,4.7,1.5384,4.851,224.087,236.54,0.5146,1.2759,1.5384,1.8600,3.7560,4.8510,0.6478,1.8294,1.9019,1.0242,2.4142,3.3464,1.3445,1.7369,2.9140
CE.25147,-119.11930,34.11250,CE,CE,3.8,1.0969,1.852,226.820,233.44,0.4477,0.8809,1.0969,0.7650,1.5250,1.8520,0.6300,3.4488,2.6066,0.9247,2.4042,2.5591,0.2339,0.7532,0.6843
CE.25392,-119.84720,34.41500,CE,CE,3.8,0.902,1.79,253.030,333.68,0.5472,0.9020,0.8456,1.2540,1.7440,1.7900,0.6845,1.1746,1.3220,1.1456,3.0515,2.3667,0.3431,0.5473,0.8025
CE.32076,-116.27120,35.97120,CE,CE,5.2,8.4233,7.024,108.741,346.57,3.3235,8.4233,6.9578,2.2220,7.0240,7.0210,10.3315,24.8415,27.1157,1.9118,7.3550,5.8055,0.5508,1.1011,0.6560
CE.34093,-118.17590,35.06970,CE,CE,4.5,4.8144,4.254,89.882,341.97,2.4955,3.9151,4.8144,1.2880,3.7850,4.2540,6.5603,8.1072,12.5207,1.4320,6.6627,10.7838,0.1822,0.5671,0.8752
CE.12092,-116.91140,33.48180,CE,CE,3.8,1.5969,1.818,235.859,357.81,0.9461,1.4347,1.5969,0.7880,1.1980,1.8180,2.3292,4.3635,4.8658,0.8555,1.5470,2.1468,0.1447,0.2202,0.6778
CE.13099,-117.59260,33.87600,CE,CE,3.7,1.3214,1.478,189.455,377.92,0.9593,1.3214,1.1660,0.9660,1.4780,1.2620,2.5841,3.8412,3.9512,1.6070,1.8944,1.8494,0.3226,0.1942,0.3371
CE.13172,-117.15070,33.49710,CE,CE,3.6,1.2385,1.318,231.250,367.68,0.7762,1.2385,1.0521,0.6980,1.3180,1.0780,2.8415,3.8137,4.1736,1.0396,1.8219,1.2321,0.1250,0.1969,0.1218
CE.14044,-118.35340,33.97630,CE,CE,4,1.3239,2.441,198.744,352.05,0.6537,0.9672,1.3239,0.9310,1.3960,2.4410,1.9943,2.8090,3.4888,1.1321,2.2517,2.5616,0.4901,0.5738,1.3470
CE.14242,-118.19520,33.84000,CE,CE,4.3,2.4331,3.737,206.639,273.26,1.0503,2.0853,2.4331,0.7500,3.7370,2.6600,2.1942,5.6681,6.7577,1.0596,4.3060,5.1557,0.3689,1.6369,0.8377
CE.14767,-118.38040,33.96280,CE,CE,3.9,1.3401,2.194,201.205,344.67,0.5162,1.1382,1.3401,0.7380,1.7840,2.1940,1.9393,3.2589,2.9615,0.9359,1.9393,2.3692,0.4828,0.7432,0.8894
CE.14824,-118.29030,33.86770,CE,CE,3.9,1.2378,2.317,207.162,276.93,0.4774,1.1975,1.2378,0.9820,2.3170,1.7870,1.3695,3.1389,3.8837,0.9012,2.8490,1.9993,0.2822,0.8650,0.6003
CE.14828,-118.09890,33.93900,CE,CE,4.1,2.2372,2.789,193.233,272.94,0.7177,1.8499,2.2372,0.6500,2.7890,2.0820,2.3442,6.4903,6.9476,0.7662,2.3117,3.1239,0.1400,0.9502,0.6093
CE.14830,-118.10690,33.84650,CE,CE,4.2,2.4492,3.343,203.143,240.56,0.5349,2.4492,2.3403,0.7960,2.3870,3.3430,1.2146,4.7509,5.6581,0.9812,2.6291,4.3260,0.2847,1.3245,1.0416
CE.14846,-118.27690,33.81090,CE,CE,3.7,1.1857,1.532,212.460,263.55,0.3841,0.8667,1.1857,0.8070,1.5290,1.5320,1.1521,2.0918,2.4417,0.7595,2.2942,1.8244,0.5386,0.7003,0.5153
