ID,Long,Lat,Source,Network,Intensity,PGA,PGV,Distance,VS30,HNZ_PGA,HNN_PGA,HNE_PGA,HNZ_PGV,HNN_PGV,HNE_PGV,HNZ_sa(0.3),HNN_sa(0.3),HNE_sa(0.3),HNZ_sa(1.0),HNN_sa(1.0),HNE_sa(1.0),HNZ_sa(3.0),HNN_sa(3.0),HNE_sa(3.0)
DYFI.UTM:(10S 0732 3838 1000),-120.46280,34.66210,DYFI,DYFI,3.1,Null,Null,283.840,319.48,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0732 3872 1000),-120.45340,34.96840,DYFI,DYFI,3,Null,Null,267.746,237.06,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0732 4207 1000),-120.35260,37.98540,DYFI,DYFI,2.8,Null,Null,327.671,719.11,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0732 4238 1000),-120.34250,38.26450,DYFI,DYFI,2.4,Null,Null,349.237,705.32,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3835 1000),-120.45270,34.63480,DYFI,DYFI,2.9,Null,Null,284.563,332.06,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3836 1000),-120.45240,34.64380,DYFI,DYFI,2.9,Null,Null,284.034,318.09,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3837 1000),-120.45210,34.65290,DYFI,DYFI,3.3,Null,Null,283.502,318.09,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3838 1000),-120.45190,34.66190,DYFI,DYFI,2,Null,Null,282.986,317.9,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3861 1000),-120.44550,34.86910,DYFI,DYFI,2.6,Null,Null,271.704,331.98,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3862 1000),-120.44520,34.87810,DYFI,DYFI,3.8,Null,Null,271.245,319.51,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3870 1000),-120.44300,34.95010,DYFI,DYFI,2.9,Null,Null,267.700,242.32,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 3874 1000),-120.44190,34.98620,DYFI,DYFI,3.4,Null,Null,265.996,235.92,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0733 4070 1000),-120.38440,36.75150,DYFI,DYFI,3.1,Null,Null,255.474,258.67,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0734 3836 1000),-120.44150,34.64360,DYFI,DYFI,2.3,Null,Null,283.184,317.41,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0734 3866 1000),-120.43320,34.91390,DYFI,DYFI,2.9,Null,Null,268.556,316.38,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0734 3867 1000),-120.43290,34.92290,DYFI,DYFI,3.7,Null,Null,268.111,316.38,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0734 3870 1000),-120.43200,34.94990,DYFI,DYFI,3,Null,Null,266.794,240.46,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0734 4236 1000),-120.32030,38.24590,DYFI,DYFI,3,Null,Null,346.407,718.88,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0735 3861 1000),-120.42360,34.86860,DYFI,DYFI,3.6,Null,Null,269.929,312.28,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0735 3870 1000),-120.42110,34.94970,DYFI,DYFI,3.2,Null,Null,265.896,240.97,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0735 3871 1000),-120.42080,34.95870,DYFI,DYFI,3.4,Null,Null,265.462,243.61,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0736 3862 1000),-120.41240,34.87740,DYFI,DYFI,3.2,Null,Null,268.582,311.46,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0736 3870 1000),-120.41020,34.94940,DYFI,DYFI,3.1,Null,Null,265.004,240.97,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0736 3872 1000),-120.40960,34.96750,DYFI,DYFI,3.8,Null,Null,264.131,243.61,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0737 4002 1000),-120.36050,36.13820,DYFI,DYFI,3.5,Null,Null,237.874,368.5,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0737 4131 1000),-120.32040,37.29980,DYFI,DYFI,3.2,Null,Null,277.972,327.74,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0737 4243 1000),-120.28370,38.30820,DYFI,DYFI,2.5,Null,Null,349.432,718.95,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0738 4002 1000),-120.34940,36.13790,DYFI,DYFI,3.2,Null,Null,236.877,352.66,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0738 4210 1000),-120.28340,38.01080,DYFI,DYFI,2,Null,Null,325.311,719.09,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0738 4243 1000),-120.27230,38.30790,DYFI,DYFI,2.9,Null,Null,348.753,719.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0739 4210 1000),-120.27200,38.01060,DYFI,DYFI,2.6,Null,Null,324.590,719.04,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0740 4356 1000),-120.21000,39.32450,DYFI,DYFI,2.3,Null,Null,437.235,439.46,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0742 4111 1000),-120.27060,37.11840,DYFI,DYFI,3.8,Null,Null,263.713,324.56,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0742 4213 1000),-120.23680,38.03680,DYFI,DYFI,2.6,Null,Null,324.502,718.67,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0743 4111 1000),-120.25930,37.11820,DYFI,DYFI,3.3,Null,Null,262.833,324.56,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0743 4112 1000),-120.25900,37.12720,DYFI,DYFI,3.5,Null,Null,263.310,261.6,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0743 4191 1000),-120.23290,37.83840,DYFI,DYFI,3.2,Null,Null,308.825,718.99,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0743 4213 1000),-120.22540,38.03650,DYFI,DYFI,3.2,Null,Null,323.784,718.67,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0745 4330 1000),-120.16150,39.08910,DYFI,DYFI,2.6,Null,Null,412.792,673.51,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0746 4192 1000),-120.19850,37.84660,DYFI,DYFI,2,Null,Null,307.253,719.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0746 4217 1000),-120.18990,38.07170,DYFI,DYFI,3.3,Null,Null,324.474,719.25,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0747 4327 1000),-120.13950,39.06150,DYFI,DYFI,2,Null,Null,409.192,391.14,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0747 4339 1000),-120.13520,39.16950,DYFI,DYFI,2,Null,Null,419.194,323.92,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0748 3848 1000),-120.28540,34.74840,DYFI,DYFI,3.3,Null,Null,264.996,391.49,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0749 3847 1000),-120.27480,34.73920,DYFI,DYFI,3.6,Null,Null,264.664,302.23,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0754 4161 1000),-120.11850,37.56540,DYFI,DYFI,3.6,Null,Null,281.173,718.79,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0755 4285 1000),-120.06280,38.68120,DYFI,DYFI,3,Null,Null,370.307,488.53,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0756 3833 1000),-120.20260,34.61130,DYFI,DYFI,3.7,Null,Null,266.490,319.41,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0756 3834 1000),-120.20230,34.62030,DYFI,DYFI,2.8,Null,Null,265.920,319.41,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0757 3833 1000),-120.19180,34.61110,DYFI,DYFI,3.4,Null,Null,265.676,319.41,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0757 4262 1000),-120.04830,38.47370,DYFI,DYFI,3.1,Null,Null,350.853,650.52,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0757 4304 1000),-120.03270,38.85170,DYFI,DYFI,2.2,Null,Null,384.607,406.83,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0758 4093 1000),-120.09690,36.95210,DYFI,DYFI,3.6,Null,Null,241.275,262.86,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0758 4094 1000),-120.09650,36.96110,DYFI,DYFI,3.2,Null,Null,241.714,262.37,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0758 4227 1000),-120.04970,38.15840,DYFI,DYFI,3.4,Null,Null,323.504,719.93,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0758 4300 1000),-120.02270,38.81540,DYFI,DYFI,3.3,Null,Null,380.754,538.33,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0758 4305 1000),-120.02090,38.86040,DYFI,DYFI,3.1,Null,Null,384.870,330.72,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0758 4313 1000),-120.01780,38.93240,DYFI,DYFI,2,Null,Null,391.489,311.09,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0759 4094 1000),-120.08530,36.96080,DYFI,DYFI,3.2,Null,Null,240.820,260.9,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0759 4095 1000),-120.08500,36.96980,DYFI,DYFI,2.7,Null,Null,241.272,260.9,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0759 4310 1000),-120.00750,38.90510,DYFI,DYFI,2.6,Null,Null,388.448,412.73,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0759 4311 1000),-120.00710,38.91410,DYFI,DYFI,2.3,Null,Null,389.277,336.82,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0759 4313 1000),-120.00630,38.93210,DYFI,DYFI,2.9,Null,Null,390.938,302.26,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0759 4314 1000),-120.00590,38.94110,DYFI,DYFI,2.5,Null,Null,391.770,302.26,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0761 3831 1000),-120.14880,34.59200,DYFI,DYFI,3.3,Null,Null,263.585,333.43,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0761 4092 1000),-120.06360,36.94230,DYFI,DYFI,3.3,Null,Null,238.148,260.11,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0761 4094 1000),-120.06290,36.96030,DYFI,DYFI,3.5,Null,Null,239.041,259.57,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0761 4095 1000),-120.06250,36.96930,DYFI,DYFI,3.3,Null,Null,239.488,259.57,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0762 3831 1000),-120.13790,34.59180,DYFI,DYFI,3.3,Null,Null,262.773,339.98,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0762 3832 1000),-120.13760,34.60080,DYFI,DYFI,3.5,Null,Null,262.188,339.98,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0762 4068 1000),-120.06070,36.72590,DYFI,DYFI,3.6,Null,Null,227.585,261.2,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0763 3832 1000),-120.12670,34.60050,DYFI,DYFI,3.2,Null,Null,261.381,339.98,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0764 3839 1000),-120.11360,34.66330,DYFI,DYFI,3.3,Null,Null,256.511,326.41,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0767 3833 1000),-120.08280,34.60850,DYFI,DYFI,4.3,2.5908,3.6798,257.564,326.44,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10S 0773 3817 1000),-120.02260,34.46280,DYFI,DYFI,2,Null,Null,262.724,357.49,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10T 0559 5284 1000),-122.20680,47.71110,DYFI,DYFI,4.1,1.741,2.9842,"1,357.882",760.0,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(10T 0636 4621 1000),-121.35860,41.73360,DYFI,DYFI,3.6,Null,Null,717.942,760.0,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11R 0682 3381 1000),-115.09730,30.55200,DYFI,DYFI,3.9,Null,Null,595.295,760.0,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0233 3814 1000),-119.90030,34.43760,DYFI,DYFI,3.6,Null,Null,255.627,350.64,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0234 3813 1000),-119.88920,34.42890,DYFI,DYFI,3.4,Null,Null,255.325,355.76,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0234 3814 1000),-119.88950,34.43790,DYFI,DYFI,3,Null,Null,254.787,355.76,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0235 3812 1000),-119.87800,34.42010,DYFI,DYFI,2.2,Null,Null,255.029,346.39,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0235 3813 1000),-119.87830,34.42920,DYFI,DYFI,2.9,Null,Null,254.480,355.76,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0236 3811 1000),-119.86680,34.41140,DYFI,DYFI,3.6,Null,Null,254.733,335.84,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0236 3812 1000),-119.86710,34.42040,DYFI,DYFI,3.4,Null,Null,254.186,335.84,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0236 4154 1000),-119.98070,37.49990,DYFI,DYFI,3,Null,Null,267.199,718.83,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0237 3811 1000),-119.85590,34.41170,DYFI,DYFI,3.2,Null,Null,253.894,333.68,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0237 3812 1000),-119.85620,34.42070,DYFI,DYFI,3.1,Null,Null,253.345,333.68,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0237 4152 1000),-119.96870,37.48210,DYFI,DYFI,3.3,Null,Null,265.110,718.84,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0237 4231 1000),-119.99740,38.19320,DYFI,DYFI,3,Null,Null,323.554,720.38,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0238 3811 1000),-119.84510,34.41190,DYFI,DYFI,3.6,Null,Null,253.069,333.68,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0239 3815 1000),-119.83540,34.44820,DYFI,DYFI,3,Null,Null,250.040,335.48,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0239 4078 1000),-119.92040,36.81650,DYFI,DYFI,3.9,Null,Null,220.405,330.76,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0240 3813 1000),-119.82390,34.43040,DYFI,DYFI,3.9,Null,Null,250.297,336.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0240 3814 1000),-119.82420,34.43940,DYFI,DYFI,3.1,Null,Null,249.749,336.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0240 3815 1000),-119.82450,34.44840,DYFI,DYFI,3.4,Null,Null,249.203,339.43,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0241 3814 1000),-119.81340,34.43970,DYFI,DYFI,3.3,Null,Null,248.916,336.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0241 3815 1000),-119.81370,34.44870,DYFI,DYFI,3.9,Null,Null,248.369,339.43,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0241 4310 1000),-119.98100,38.90540,DYFI,DYFI,2.8,Null,Null,387.271,347.58,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0241 4312 1000),-119.98180,38.92340,DYFI,DYFI,2.6,Null,Null,389.008,337.57,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0242 3813 1000),-119.80220,34.43090,DYFI,DYFI,3.5,Null,Null,248.635,345.63,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
